#,Name,Start,End,Length
R1,,0:01.000,0:22.500,0:21.500
R2,,0:23.000,0:33.500,0:10.500
R3,,0:34.000,0:41.589,0:07.589
R4,,0:42.000,0:50.000,0:08.000
R5,,0:50.500,1:07.000,0:16.500
R6,,1:07.500,1:44.500,0:37.000
R7,,1:45.000,2:08.614,0:23.614
R8,,2:09.000,2:26.000,0:17.000
R9,,2:26.500,2:40.500,0:14.000
R10,,2:41.000,2:48.000,0:07.000
R11,,2:48.500,3:04.000,0:15.500
R12,,3:04.500,3:12.000,0:07.500
R13,,3:12.500,3:26.500,0:14.000
R14,,3:27.000,3:44.500,0:17.500
R15,,3:45.000,3:53.500,0:08.500
R16,,3:54.000,4:00.500,0:06.500
R17,,4:01.000,4:06.500,0:05.500
R18,,4:07.000,4:24.500,0:17.500
